seed,bearing,role,samples,best_epoch,validation_mse,reconstruction_mse
20260801,Bearing1_1,train,123,5,0.8641368242410513,0.2487800419330597
20260801,Bearing1_2,train,161,5,0.8641368242410513,0.3415968418121338
20260801,Bearing1_3,train,158,5,0.8641368242410513,0.16729958355426788
20260801,Bearing1_4,test,122,5,0.8641368242410513,0.6706912517547607
20260801,Bearing1_5,validation,52,5,0.8641368242410513,0.864136815071106
20260802,Bearing1_1,train,123,5,0.6732898079431974,0.1847705990076065
20260802,Bearing1_2,train,161,5,0.6732898079431974,0.17848320305347443
20260802,Bearing1_3,train,158,5,0.6732898079431974,0.11048369109630585
20260802,Bearing1_4,test,122,5,0.6732898079431974,0.5365206003189087
20260802,Bearing1_5,validation,52,5,0.6732898079431974,0.6732898354530334
20260803,Bearing1_1,train,123,5,0.7269125718336839,0.2209753543138504
20260803,Bearing1_2,train,161,5,0.7269125718336839,0.1704389750957489
20260803,Bearing1_3,train,158,5,0.7269125718336839,0.16518977284431458
20260803,Bearing1_4,test,122,5,0.7269125718336839,0.5862717628479004
20260803,Bearing1_5,validation,52,5,0.7269125718336839,0.7269125580787659
