condition,fold,seed,train_bearings,validation_bearing,test_bearing,best_epoch,validation_reconstruction_mse,test_reconstruction_mse,ready_samples,level_spearman_rho,level_first_last_delta,trend_direction_accuracy,trend_noise,movement_change_spearman_rho,movement_mean,movement_max
35Hz12kN,1,20260801,Bearing1_3;Bearing1_4;Bearing1_5,Bearing1_2,Bearing1_1,5,1.7104583438138785,0.9350588321685791,108,0.9528327950689264,4.111834406852722,0.9065420560747663,0.0090086515695074,0.06680185740316229,0.17173649824258905,1.007910132408142
35Hz12kN,1,20260802,Bearing1_3;Bearing1_4;Bearing1_5,Bearing1_2,Bearing1_1,5,0.3824219078010654,0.36888790130615234,108,0.9803462040450808,25.81491756439209,0.8411214953271028,0.049855863605696285,0.3131232978702561,0.7148192191703452,7.721675395965576
35Hz12kN,1,20260803,Bearing1_3;Bearing1_4;Bearing1_5,Bearing1_2,Bearing1_1,5,1.0209419075746713,0.7133287787437439,108,0.9647127192355692,16.874874234199524,0.8785046728971962,0.028526807471369646,0.158271126001685,0.4960415138242145,4.7183756828308105
35Hz12kN,2,20260801,Bearing1_1;Bearing1_4;Bearing1_5,Bearing1_3,Bearing1_2,5,0.45764944598644597,0.8549332022666931,146,0.9958161819286052,23.703512638807297,0.8413793103448276,0.02617510803752238,0.23397496457250824,0.5107745829561393,2.7928035259246826
35Hz12kN,2,20260802,Bearing1_1;Bearing1_4;Bearing1_5,Bearing1_3,Bearing1_2,5,0.35219675302505493,0.506763219833374,146,0.9972120733035776,28.107078105211258,0.8551724137931035,0.03003642963096039,0.24765784915761294,0.6571397183284368,3.928457736968994
35Hz12kN,2,20260803,Bearing1_1;Bearing1_4;Bearing1_5,Bearing1_3,Bearing1_2,5,0.4236276957053172,0.7569950819015503,146,0.9971889369824455,29.209094017744064,0.8620689655172413,0.027764433859501798,0.28443945835301526,0.6448825001971771,3.4869019985198975
35Hz12kN,3,20260801,Bearing1_1;Bearing1_2;Bearing1_5,Bearing1_4,Bearing1_3,3,0.479459569102428,0.3855375349521637,143,0.9550297120719655,13.233429849147797,0.9295774647887324,0.011274304355104226,0.3663208233181263,0.1773130430195194,1.3682807683944702
35Hz12kN,3,20260802,Bearing1_1;Bearing1_2;Bearing1_5,Bearing1_4,Bearing1_3,5,0.529991834867196,0.29737186431884766,143,0.971884336320956,18.539356857538223,0.9014084507042254,0.01677879950060583,0.5870500491417483,0.26862594472257406,3.1450438499450684
35Hz12kN,3,20260803,Bearing1_1;Bearing1_2;Bearing1_5,Bearing1_4,Bearing1_3,5,0.4980714057312637,0.23737618327140808,143,0.9681292885518237,19.93958120048046,0.8802816901408451,0.014968035964127527,0.5236917712194908,0.27306371123588585,3.661867141723633
35Hz12kN,4,20260801,Bearing1_1;Bearing1_2;Bearing1_3,Bearing1_5,Bearing1_4,5,0.8641368242410513,0.6706912517547607,107,0.8295617077137092,2.478575348854065,0.7264150943396226,0.010302229659007605,0.21847998589314055,0.23081952476195086,7.273549556732178
