arm,seed,bearing_id,archived_mse_absolute_difference,prefix_max_absolute_difference,baseline_identity_exact
control,20260916,Bearing1_1,0.0,0.0,True
control,20260916,Bearing1_2,0.0,0.0,True
control,20260916,Bearing1_3,0.0,0.0,True
control,20260916,Bearing1_4,0.0,0.0,True
control,20260916,Bearing1_5,0.0,0.0,True
control,20260917,Bearing1_1,0.0,0.0,True
control,20260917,Bearing1_2,0.0,0.0,True
control,20260917,Bearing1_3,0.0,0.0,True
control,20260917,Bearing1_4,0.0,0.0,True
control,20260917,Bearing1_5,0.0,0.0,True
control,20260918,Bearing1_1,0.0,0.0,True
control,20260918,Bearing1_2,0.0,0.0,True
control,20260918,Bearing1_3,0.0,0.0,True
control,20260918,Bearing1_4,0.0,0.0,True
control,20260918,Bearing1_5,0.0,0.0,True
ranking,20260916,Bearing1_1,0.0,0.0,True
ranking,20260916,Bearing1_2,0.0,0.0,True
ranking,20260916,Bearing1_3,0.0,0.0,True
ranking,20260916,Bearing1_4,0.0,0.0,True
ranking,20260916,Bearing1_5,0.0,0.0,True
ranking,20260917,Bearing1_1,0.0,0.0,True
ranking,20260917,Bearing1_2,0.0,0.0,True
ranking,20260917,Bearing1_3,0.0,0.0,True
ranking,20260917,Bearing1_4,0.0,0.0,True
ranking,20260917,Bearing1_5,0.0,0.0,True
ranking,20260918,Bearing1_1,0.0,0.0,True
ranking,20260918,Bearing1_2,0.0,0.0,True
ranking,20260918,Bearing1_3,0.0,0.0,True
ranking,20260918,Bearing1_4,0.0,0.0,True
ranking,20260918,Bearing1_5,0.0,0.0,True
