arm,seed,bearing_id,split,scope,target_start_step,target_count,gru_mse,persistence_mse,mse_ratio,skill,gru_rmse,persistence_rmse,gru_win_fraction,gru_median_step_mse,persistence_median_step_mse
control,20260916,Bearing1_1,train,primary,25,98,0.024918629062401144,0.00833786647107714,2.988609753926893,-1.9886097539268932,0.1578563557871559,0.09131191855983062,0.17346938775510204,0.024502876549377106,0.0006810361910538631
control,20260916,Bearing1_1,train,full_sequence_diagnostic,1,122,0.024589307267039704,0.00788148678085409,3.1198818130067387,-2.1198818130067387,0.15680978052098568,0.08877773809268903,0.16393442622950818,0.020327993252749366,0.0011544518965820316
control,20260916,Bearing1_2,train,primary,25,136,0.0191979346616707,0.009941434409771757,1.931103085365672,-0.9311030853656721,0.1385566117573272,0.09970674204772592,0.10294117647058823,0.008970826285803923,7.018252643220535e-05
control,20260916,Bearing1_2,train,full_sequence_diagnostic,1,160,0.02000030735262004,0.008695448909705241,2.3000891110172725,-1.3000891110172725,0.14142244288874392,0.09324939093476826,0.0875,0.00981927846396502,0.00017575316547735476
control,20260916,Bearing1_3,train,primary,25,133,0.012328341071043745,0.002705652369428734,4.556513323863083,-3.556513323863083,0.11103306296344231,0.05201588574107658,0.05263157894736842,0.00884165659408609,0.0006128351124061737
control,20260916,Bearing1_3,train,full_sequence_diagnostic,1,157,0.01281454320343955,0.0024834080616558357,5.160063463309905,-4.160063463309905,0.11320133922988522,0.04983380440680639,0.044585987261146494,0.00889693872522912,0.0006128351124061737
control,20260916,Bearing1_4,validation,primary,25,97,0.05939611263270851,0.03877501019310031,1.5318142364609244,-0.5318142364609244,0.24371317697799705,0.19691371255730342,0.07216494845360824,0.008692212613823358,0.0009561158694850747
control,20260916,Bearing1_4,validation,full_sequence_diagnostic,1,121,0.05524746147117249,0.03128171097419343,1.7661265880485295,-0.7661265880485295,0.2350477855057828,0.176866364733924,0.05785123966942149,0.012338000914041913,0.0009025831204780843
control,20260916,Bearing1_5,holdout_test,primary,25,27,0.039104090585662256,0.008694134638168339,4.497755350370399,-3.497755350370399,0.19774754255277677,0.09324234359006824,0.07407407407407407,0.035005728364922106,0.0004942103014400345
control,20260916,Bearing1_5,holdout_test,full_sequence_diagnostic,1,51,0.03128813161522965,0.005012204918733123,6.242388753558382,-5.242388753558382,0.17688451491080176,0.07079692732550702,0.0392156862745098,0.023762293625622988,0.00031926027895679
control,20260917,Bearing1_1,train,primary,25,98,0.02510475965685505,0.00833786647107714,3.0109332817861563,-2.0109332817861563,0.15844481580933803,0.09131191855983062,0.17346938775510204,0.02346996875712648,0.0006810361910538631
control,20260917,Bearing1_1,train,full_sequence_diagnostic,1,122,0.025318397304641353,0.00788148678085409,3.212388475502548,-2.212388475502548,0.15911755812807507,0.08877773809268903,0.18032786885245902,0.02049747783166822,0.0011544518965820316
control,20260917,Bearing1_2,train,primary,25,136,0.019205069492294138,0.009941434409771757,1.931820771599806,-0.9318207715998059,0.1385823563527989,0.09970674204772592,0.11029411764705882,0.00881507196208986,7.018252643220535e-05
control,20260917,Bearing1_2,train,full_sequence_diagnostic,1,160,0.020169283558784622,0.008695448909705241,2.319521828973442,-1.3195218289734418,0.14201860286168366,0.09324939093476826,0.09375,0.009974339060136117,0.00017575316547735476
control,20260917,Bearing1_3,train,primary,25,133,0.01255368662571233,0.002705652369428734,4.639800281646267,-3.6398002816462673,0.11204323551965255,0.05201588574107658,0.12781954887218044,0.007545148762574172,0.0006128351124061737
control,20260917,Bearing1_3,train,full_sequence_diagnostic,1,157,0.013131965358920548,0.0024834080616558357,5.287880619250582,-4.287880619250582,0.11459478766034932,0.04983380440680639,0.12738853503184713,0.007552006441983394,0.0006128351124061737
control,20260917,Bearing1_4,validation,primary,25,97,0.059463560953203994,0.03877501019310031,1.5335537155780048,-0.5335537155780048,0.2438515141499105,0.19691371255730342,0.09278350515463918,0.00773727499472443,0.0009561158694850747
control,20260917,Bearing1_4,validation,full_sequence_diagnostic,1,121,0.05562995995024133,0.03128171097419343,1.7783541314646933,-0.7783541314646933,0.23586004314050596,0.176866364733924,0.0743801652892562,0.01245308651778032,0.0009025831204780843
control,20260917,Bearing1_5,holdout_test,primary,25,27,0.042072485818905575,0.008694134638168339,4.83918038653348,-3.8391803865334797,0.20511578637176023,0.09324234359006824,0.07407407407407407,0.032103372854180634,0.0004942103014400345
control,20260917,Bearing1_5,holdout_test,full_sequence_diagnostic,1,51,0.03329017466656767,0.005012204918733123,6.641822352902132,-5.641822352902132,0.18245595267507078,0.07079692732550702,0.0392156862745098,0.025208051316440105,0.00031926027895679
control,20260918,Bearing1_1,train,primary,25,98,0.02554432344502843,0.00833786647107714,3.0636522584809933,-2.0636522584809933,0.15982591606190916,0.09131191855983062,0.17346938775510204,0.02547190627387863,0.0006810361910538631
control,20260918,Bearing1_1,train,full_sequence_diagnostic,1,122,0.026015758432413928,0.00788148678085409,3.3008693861686194,-2.3008693861686194,0.16129401238860025,0.08877773809268903,0.18032786885245902,0.017900132982276773,0.0011544518965820316
control,20260918,Bearing1_2,train,primary,25,136,0.020248817621810106,0.009941434409771757,2.036810462875145,-1.036810462875145,0.14229834019344748,0.09970674204772592,0.11029411764705882,0.01074518270615954,7.018252643220535e-05
control,20260918,Bearing1_2,train,full_sequence_diagnostic,1,160,0.021512680464723245,0.008695448909705241,2.474016084518917,-1.474016084518917,0.14667201663822327,0.09324939093476826,0.09375,0.01247130666160956,0.00017575316547735476
control,20260918,Bearing1_3,train,primary,25,133,0.010790707287949413,0.002705652369428734,3.988209058145833,-2.988209058145833,0.1038783292508568,0.05201588574107658,0.09774436090225563,0.006971961240196833,0.0006128351124061737
control,20260918,Bearing1_3,train,full_sequence_diagnostic,1,157,0.01216011961184569,0.0024834080616558357,4.896545114594584,-3.896545114594584,0.11027293236259608,0.04983380440680639,0.08280254777070063,0.008115726726828143,0.0006128351124061737
control,20260918,Bearing1_4,validation,primary,25,97,0.058075046693593625,0.03877501019310031,1.497744201855235,-0.49774420185523494,0.24098764842537806,0.19691371255730342,0.05154639175257732,0.007189916614152025,0.0009561158694850747
