arm,bearing_id,rho_mean,rho_std,rho_min,rho_max,next_step_mse_mean,backward_fraction_mean,normalized_step_std_mean,collapse_count
distance,Bearing1_1,0.9519027854815777,,0.9519027854815777,0.9519027854815777,,0.13402061855670103,0.018672827367522047,0
distance,Bearing1_2,0.996507800200372,,0.996507800200372,0.996507800200372,,0.15555555555555556,0.012457644571273175,0
distance,Bearing1_3,0.9597739259954499,,0.9597739259954499,0.9597739259954499,,0.17424242424242425,0.0073583393501627245,0
distance,Bearing1_4,0.8531190826846202,,0.8531190826846202,0.8531190826846202,,0.40625,0.034404818518654595,0
distance,Bearing1_5,0.9713064713064712,,0.9713064713064712,0.9713064713064712,,0.15384615384615385,0.033591732879115266,0
control,Bearing1_1,0.9517965261706056,0.0005779412567521069,0.9514564963754948,0.9524638346435105,0.02530782048900922,0.140893470790378,0.017573472191030354,0
control,Bearing1_2,0.999615158309877,8.11497595354899e-05,0.9995324650541481,0.9996946710557701,0.02056075694660346,0.054320987654320994,0.013270348954545921,0
control,Bearing1_3,0.9634245042728938,0.00209845162638959,0.9610032544046684,0.9647167443711041,0.012702209564546743,0.16161616161616163,0.0072154646109206825,0
control,Bearing1_4,0.8283715548074899,0.06321353269848944,0.756377551020408,0.8747896065642752,0.055216932048400245,0.4131944444444444,0.02644230931798879,0
control,Bearing1_5,0.9489214489214489,0.03197026409719737,0.9255189255189256,0.9853479853479853,0.032101668417453766,0.15384615384615385,0.03404744610033459,0
ranking,Bearing1_1,0.9517965261706056,0.0005779412567521069,0.9514564963754948,0.9524638346435105,0.02519399548570315,0.140893470790378,0.017368724595514123,0
ranking,Bearing1_2,0.9996755879967557,4.55101951918622e-05,0.9996231095844663,0.9997042125852774,0.02059970051050186,0.041975308641975316,0.013159672099263801,0
ranking,Bearing1_3,0.9635384254394467,0.002054175158284452,0.9611664847328634,0.9647320472143723,0.012816689908504486,0.16161616161616163,0.007187676289410445,0
ranking,Bearing1_4,0.8264604810996562,0.06527003129472914,0.7525904691773616,0.8763412581527454,0.05505877857406934,0.4166666666666667,0.026506245234801246,0
ranking,Bearing1_5,0.9470899470899471,0.026592423644964776,0.9255189255189256,0.9768009768009768,0.031971060360471405,0.15384615384615385,0.03405844585601588,0
