bearing_id,split,representation,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,stage_changes,mean_confidence,stage_0_count,stage_1_count,stage_2_count,collapsed_to_one_stage
Bearing1_1,train,raw_z,108,0.8539491708033325,0.5,0.004672897196261682,0.048110421219565415,0.0,1,1.0,0,63,45,False
Bearing1_1,train,bearing_centered_z,108,0.9162929304932526,0.9999999999999996,0.03668372123894787,0.1111161453853201,0.19626168224299065,8,0.9801872633934671,48,15,45,False
Bearing1_2,train,raw_z,146,0.8343384319670174,1.0,0.0068965517288756585,0.05831563472324839,0.0,2,0.9999999996313607,23,25,98,False
Bearing1_2,train,bearing_centered_z,146,0.8313675630680473,1.0,0.006896551991112253,0.05831562650273363,0.006896551724137931,2,0.999999997466539,30,17,99,False
Bearing1_3,train,raw_z,143,0.9140345996827635,1.0,0.00704353777831882,0.05891697710134529,0.02112676056338028,2,0.9999968677645167,56,62,25,False
Bearing1_3,train,bearing_centered_z,143,0.9460936350184548,1.0,0.009367864408849035,0.0620826359347327,0.028169014084507043,2,0.9976876362361388,76,40,27,False
Bearing1_4,validation,raw_z,107,nan,0.0,0.0,0.0,0.0,0,1.0,0,107,0,True
Bearing1_4,validation,bearing_centered_z,107,0.962268288705045,1.0,0.010050572176457015,0.06365236692128799,0.009433962264150943,2,0.997380591701338,70,36,1,False
Bearing1_5,holdout_test,raw_z,37,0.8159156512341678,0.5,0.013888888888888888,0.08212352260954796,0.0,1,0.9999858450846348,0,25,12,False
Bearing1_5,holdout_test,bearing_centered_z,37,0.8962683085662442,0.5,0.013888888888888888,0.08162680315054809,0.0,1,0.9998265673469289,22,15,0,False
