bearing_id,split,method,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,stage_changes,mean_confidence
Bearing1_1,train,distance_baseline,108,0.9640553697828841,8.47518014907837,0.08950172183669616,0.14249793513879866,0.1308411214953271,,
Bearing1_1,train,hmm,108,0.8539491708033325,0.5,0.004672897196261682,0.048110421219565415,0.0,1,1.0
Bearing1_2,train,distance_baseline,146,0.9940231170408648,11.911071479320526,0.08577041667083214,0.14593033951610374,0.19310344827586207,,
Bearing1_2,train,hmm,146,0.8343384319670174,1.0,0.0068965517288756585,0.058315634723248376,0.0,2,0.9999999996313607
Bearing1_3,train,distance_baseline,143,0.9543771955743785,11.847296439111233,0.08903463599337659,0.08458392907171333,0.1619718309859155,,
Bearing1_3,train,hmm,143,0.9140345996827635,1.0,0.00704353777831882,0.05891697710134536,0.02112676056338028,2,0.9999968677645166
Bearing1_4,validation,distance_baseline,107,0.8489488430415958,3.255563497543335,0.0544970766553339,0.11083335698297077,0.3867924528301887,,
Bearing1_4,validation,hmm,107,nan,0.0,0.0,0.0,0.0,0,1.0
Bearing1_5,holdout_test,distance_baseline,37,0.9502133712660028,6.901375442743301,0.19881385233667162,0.2315434123086962,0.2222222222222222,,
Bearing1_5,holdout_test,hmm,37,0.8159156512341678,0.5,0.013888888888888888,0.0821235226095478,0.0,1,0.9999858450846348
