arm,seed,bearing_id,archived_mse_absolute_difference,increment_vs_direct_mse_absolute_difference,prefix_max_absolute_difference
control,20260916,Bearing1_1,0.0,6.907171709591431e-11,0.0
control,20260916,Bearing1_2,0.0,7.890538569754746e-11,0.0
control,20260916,Bearing1_3,0.0,3.7605942665441816e-11,0.0
control,20260916,Bearing1_4,0.0,9.758114802305151e-10,0.0
control,20260916,Bearing1_5,0.0,6.566747770553327e-10,0.0
control,20260917,Bearing1_1,0.0,8.875622459214583e-12,0.0
control,20260917,Bearing1_2,0.0,5.864220220530569e-11,0.0
control,20260917,Bearing1_3,0.0,2.750320284017338e-11,0.0
control,20260917,Bearing1_4,0.0,3.2177437797598074e-10,0.0
control,20260917,Bearing1_5,0.0,2.9776638793554966e-10,0.0
control,20260918,Bearing1_1,0.0,2.9077358576490298e-11,0.0
control,20260918,Bearing1_2,0.0,2.3601072138279555e-10,0.0
control,20260918,Bearing1_3,0.0,2.449723410236082e-11,0.0
control,20260918,Bearing1_4,0.0,2.9866228240527093e-10,0.0
control,20260918,Bearing1_5,0.0,3.6262377822726677e-10,0.0
ranking,20260916,Bearing1_1,0.0,3.4133980364448036e-11,0.0
ranking,20260916,Bearing1_2,0.0,2.273597074498035e-10,0.0
ranking,20260916,Bearing1_3,0.0,5.223574524315655e-11,0.0
ranking,20260916,Bearing1_4,0.0,2.2872193722323075e-10,0.0
ranking,20260916,Bearing1_5,0.0,3.2338548505705944e-10,0.0
ranking,20260917,Bearing1_1,0.0,2.651127581354551e-11,0.0
ranking,20260917,Bearing1_2,0.0,5.622246071479431e-11,0.0
ranking,20260917,Bearing1_3,0.0,2.2619635331455612e-11,0.0
ranking,20260917,Bearing1_4,0.0,1.1643836728136847e-09,0.0
ranking,20260917,Bearing1_5,0.0,1.8475582175270233e-10,0.0
ranking,20260918,Bearing1_1,0.0,3.9383891980993013e-11,0.0
ranking,20260918,Bearing1_2,0.0,8.545410559723798e-11,0.0
ranking,20260918,Bearing1_3,0.0,6.372494545936469e-12,0.0
ranking,20260918,Bearing1_4,0.0,2.6790762663875256e-10,0.0
ranking,20260918,Bearing1_5,0.0,2.568668264202323e-10,0.0
