arm,seed,bearing_id,dimension,true_mean,predicted_mean,error_bias,raw_mse,bias_mse,bias_fraction,oracle_bias_corrected_mse,true_rms,predicted_rms,magnitude_ratio,through_origin_gain,pearson,same_sign_fraction
control,20260916,Bearing1_1,0,0.017288677584455937,0.061295894411753635,0.0440072168272977,0.017518969966278924,0.0019366351328847936,0.11054503413228581,0.01558233483339413,0.09038472811102373,0.12073568925235462,1.3357974491448312,0.3199461625159753,0.16840299299731018,0.6020408163265306
control,20260916,Bearing1_1,1,0.01764694186953866,0.0732657649383253,0.05561882306878664,0.015860740610259678,0.003093453479556993,0.19503840051176186,0.012767287130702683,0.0956860147499296,0.1115859332807741,1.166167632463303,0.3138166458729812,0.19965867639678575,0.6428571428571429
control,20260916,Bearing1_1,2,-0.016201514370587408,-0.06127663743587173,-0.04507512306528432,0.03204001868394047,0.0020317667193505266,0.06341340619657367,0.03000825196458995,0.09346862915069476,0.16286419715958797,1.7424476922306225,0.1843504379825441,0.044474691941940876,0.5510204081632653
control,20260916,Bearing1_1,3,-0.015487707429090324,-0.028219032424445054,-0.01273132499535473,0.026774499204791108,0.00016208663613734411,0.006053769106849993,0.026612412568653765,0.0942177580173576,0.14276857039652677,1.5153042632390459,0.1399884732759346,0.061939964217361886,0.5306122448979592
control,20260916,Bearing1_1,4,0.016002673807801033,0.04474629437056731,0.02874362056276628,0.028178595546227644,0.0008261957230562805,0.029319975216681296,0.027352399823171364,0.09114821874946215,0.14860968243640876,1.6304178455191773,0.13325954141640653,0.0307527116940632,0.5510204081632653
control,20260916,Bearing1_1,5,0.013817321927267678,0.022815590078125194,0.008998268150857516,0.043531231227334787,8.096882971473674e-05,0.001860016990833321,0.04345026239762006,0.07925632252249773,0.18982223237837717,2.395042140953413,-0.09688562709745643,-0.06281735918881451,0.45918367346938777
control,20260916,Bearing1_1,6,-0.01738581023350054,-0.016878460857028862,0.0005073493764716752,0.012540287284314935,2.5740338980619757e-07,2.0526115867229856e-05,0.012540029880925129,0.09328513996429195,0.0824866526495195,0.8842421491900432,0.1704112806063954,0.16074230385352412,0.5714285714285714
control,20260916,Bearing1_1,7,0.017151898191291457,-0.0478501884000642,-0.06500208659135566,0.022904689423487876,0.004225271261230099,0.18447188621982563,0.018679418162257776,0.09204710232759117,0.12432572763442296,1.3506750836322226,0.060480715673718946,0.12846851967109185,0.5612244897959183
control,20260916,Bearing1_2,0,0.01936926506459713,-0.029208647032432696,-0.04857791209702983,0.017965699987695843,0.0023598135437067572,0.13135104923954652,0.015605886443989084,0.09664264603752887,0.11222688464813518,1.1612563319567486,0.2124764044321844,0.2485697862203412,0.47058823529411764
control,20260916,Bearing1_2,1,0.019061759990804335,-0.0027048833777799327,-0.02176664336858427,0.014057815206418333,0.0004737867635351336,0.0337027309420612,0.0135840284428832,0.0940324740921585,0.09528630479294531,1.0133340179857224,0.21848701984640118,0.2261511138345398,0.4632352941176471
control,20260916,Bearing1_2,2,-0.018705020056051368,0.021393486593082985,0.04009850664913435,0.01799002146259196,0.0016078902354906717,0.08937678250323837,0.01638213122710129,0.09856675280315143,0.11345318248179019,1.1510289144694519,0.2365834478976336,0.2502814830445063,0.45588235294117646
control,20260916,Bearing1_2,3,-0.019174781299250966,0.04085133630124962,0.060026117600500584,0.019774028578234123,0.003603134794189126,0.18221551465517788,0.016170893784044994,0.10583322759560515,0.1092266691590075,1.0320640468073872,0.14986193335841147,0.233497622588066,0.4411764705882353
control,20260916,Bearing1_2,4,0.018853977541713154,-0.0033958015401902445,-0.022249779081903398,0.01376016458195478,0.000495052669193506,0.035977234592289915,0.013265111912761274,0.09939308360798049,0.08585750653419848,0.8638177166615725,0.17665437749948293,0.2160963144561818,0.4852941176470588
control,20260916,Bearing1_2,5,0.018750568742261213,-0.05287693999707699,-0.07162750873933821,0.023639395231389197,0.005130500008203971,0.2170317792813717,0.01850889522318523,0.11224832255576471,0.11493419418088831,1.0239279444357778,0.0861195942332061,0.18386618298316593,0.5367647058823529
control,20260916,Bearing1_2,6,-0.018850079354117897,-0.0001518621712046511,0.018698217182913247,0.011625271276786966,0.0003496233258193922,0.030074422995832434,0.011275647950967575,0.09495086566423977,0.08247498328052383,0.8686069653347607,0.23251294284141197,0.2727485897038651,0.5294117647058824
control,20260916,Bearing1_2,7,0.018929158994818434,-0.13007504947702675,-0.14900420847184517,0.034771081599537484,0.022202254142321097,0.6385264168088584,0.012568827457216384,0.09454709739992856,0.15977842620690644,1.6899347584522164,-0.016935747178790084,0.2688493817926616,0.4485294117647059
control,20260916,Bearing1_3,0,0.01836346597515775,0.05239102104328629,0.03402755506812854,0.014392954535156207,0.0011578745039145203,0.0804473119877019,0.013235080031241688,0.05197120296894692,0.12652968372064924,2.434611409634898,0.7992970701250812,0.21373407446654513,0.5413533834586466
control,20260916,Bearing1_3,1,0.018530929923281633,0.029588560916875537,0.011057630993593904,0.009756504607589601,0.00012227120319048852,0.01253227545194552,0.009634233404399112,0.05180046545890182,0.10184523323814496,1.9661065269567577,0.6147746486470986,0.23362573622677862,0.49624060150375937
control,20260916,Bearing1_3,2,-0.017978365259959286,-0.06477764103197514,-0.04679927577201585,0.01536660477173386,0.0021901722127851894,0.14252804997066804,0.013176432558948672,0.051454829275771594,0.1293069763558633,2.513019247675354,0.755644667020357,0.15495438144226012,0.49624060150375937
control,20260916,Bearing1_3,3,-0.01769648995110415,-0.04140994815449966,-0.023713458203395505,0.00993280743974971,0.0005623280999641855,0.05661320863966685,0.009370479339785524,0.05096864365877131,0.10190175081172616,1.9993027770945921,0.5868348065440532,0.17788800400792285,0.5112781954887218
control,20260916,Bearing1_3,4,0.017882987996913437,0.04765372602899272,0.02977073803207928,0.010323560037392987,0.0008862968429746917,0.08585186115685231,0.009437263194418295,0.05299809020658963,0.10178728271749331,1.9205839742662532,0.5066026270587993,0.1271944214437767,0.518796992481203
control,20260916,Bearing1_3,5,0.016867071124059812,0.03370643121407444,0.01683936009001463,0.009903822598314465,0.0002835640482411775,0.028631777823790717,0.00962025855007329,0.052005945745083056,0.09963205892576664,1.9157820802669747,0.5042010672435573,0.17239382243075618,0.5488721804511278
control,20260916,Bearing1_3,6,-0.018371613402115673,-0.015350183976211943,0.003021429425903729,0.008493772381462983,9.129035775716936e-06,0.0010747916668499816,0.008484643345687264,0.05313784415068053,0.08536515655073555,1.6064851315508684,0.28634555111620524,0.12575240953789577,0.48120300751879697
control,20260916,Bearing1_3,7,0.018447324773646835,-0.08085077898786928,-0.09929810376151611,0.02045670249779769,0.00986011341063282,0.4819991595270221,0.010596589087164869,0.051753997052219156,0.12818938877143202,2.4768983281057593,-0.2512075499973469,0.17018655419174805,0.39849624060150374
control,20260916,Bearing1_4,0,0.02769120390882197,0.054196573409837544,0.026505369501015574,0.046607789603490796,0.0007025346123853666,0.015073330410261479,0.04590525499110543,0.19424348193790994,0.09747928996162243,0.5018407258205027,0.008281789822902166,-0.07628160394276814,0.5773195876288659
control,20260916,Bearing1_4,1,0.029222713303320186,0.029225114540955454,2.4012376352683784e-06,0.04738244924678204,5.7659421810292735e-12,1.2168940763274e-10,0.047382449241016096,0.206081935558844,0.06862404911576611,0.33299400517407995,-0.002394938729532752,-0.07545607832744144,0.5051546391752577
control,20260916,Bearing1_4,2,-0.029057389067620346,-0.07093760832068846,-0.04188021925306812,0.0733816636270013,0.0017539527646850575,0.023901785241615566,0.07162771086231623,0.20150903663150546,0.17636021066041804,0.8751975276569038,-0.020598585607688707,-0.09000000826891866,0.5567010309278351
control,20260916,Bearing1_4,3,-0.028685327964959685,-0.022356525217134927,0.0063288027478247575,0.060229093898459984,4.00537442208742e-05,0.0006650231910910144,0.060189040154239114,0.18997913507350514,0.1423254002676199,0.7491633237121147,-0.05375837939279768,-0.09779716423359565,0.6288659793814433
control,20260916,Bearing1_4,4,0.02883754808878161,0.052022499829223474,0.023184951740441863,0.06278673216589002,0.0005375419872066182,0.008561394560022145,0.06224919017868339,0.20032639381438908,0.14465995263086054,0.7221212835533501,-0.021549185051119562,-0.08838144510832671,0.5876288659793815
control,20260916,Bearing1_4,5,0.029026343650424603,-0.026033122975801685,-0.05505946662622629,0.0723137350901467,0.0030315448651645266,0.0419221170277733,0.06928219022498218,0.18998702308437723,0.17306546283994684,0.9109330733767265,-0.0868125744823343,-0.0740202345146165,0.5463917525773195
control,20260916,Bearing1_4,6,-0.02800875226246942,-0.04904446097993359,-0.02103570871746417,0.05307308096240622,0.00044250104124599814,0.008337579677340369,0.05263057992116023,0.1956920284795073,0.115323002988848,0.5893086391146716,-0.019301496933097514,-0.10451821059743108,0.5670103092783505
control,20260916,Bearing1_4,7,0.028310416285524664,-0.05546158828686193,-0.0837720045723866,0.059394348660999186,0.00701774875007596,0.11815515967909095,0.052376599910923215,0.19692821800196197,0.11416341028383874,0.5797209330493274,-0.09773336818727073,-0.11416026708085335,0.5257731958762887
control,20260916,Bearing1_5,0,0.06293540034029219,0.08034540147141174,0.01741000113111955,0.024284235268554492,0.00030310813938558403,0.012481683529811495,0.02398112712916891,0.09514987414409166,0.12395941337733553,1.3027806341563384,0.0074666961724189325,-0.7406062412130469,0.7037037037037037
control,20260916,Bearing1_5,1,0.06505562696192,0.07449973002076149,0.009444103058841493,0.02009168331854942,8.919108258601925e-05,0.004439204081206804,0.0200024922359634,0.09838233683289865,0.11024599044705125,1.1205872313675866,0.0899661195052691,-0.6629081800255456,0.7407407407407407
control,20260916,Bearing1_5,2,-0.05579958800916319,-0.1484800239128095,-0.09268043590364633,0.05988317934303343,0.008589663199289896,0.14344033322087105,0.05129351614374353,0.0911785668951528,0.22376730176041829,2.4541655937379523,-0.09008464236444526,-0.7483532462120757,0.6296296296296297
control,20260916,Bearing1_5,3,-0.05935807084595716,-0.0987392023757652,-0.039381131529808044,0.03231529223045123,0.0015508735205680413,0.04799193860009806,0.030764418709883192,0.09375208745605829,0.15027816468586067,1.6029313987946798,-0.05360466970981311,-0.7702351427349744,0.6296296296296297
control,20260916,Bearing1_5,4,0.05770011411772834,0.0928164913698479,0.03511637725211956,0.033589864429201866,0.00123315995131318,0.03671226342435349,0.032356704477888694,0.09175084004903132,0.15134958308377236,1.6495716333811405,-0.1345267990903486,-0.7607724436509173,0.6296296296296297
control,20260916,Bearing1_5,5,0.049403366115358144,0.1681513246838693,0.11874795856851118,0.0515089603228118,0.014101077664188848,0.2737597026966956,0.037407882658622965,0.08826509755959372,0.21283939677859298,2.411365337639725,0.10155508302603308,-0.7875144778527399,0.4074074074074074
control,20260916,Bearing1_5,6,-0.06064552399847242,-0.014622584537223534,0.04602293946124889,0.03625459142720214,0.0021181109566537804,0.05842324718806632,0.034136480470548354,0.0931563510340139,0.12828031482823393,1.377043147400603,-0.6407300655567465,-0.715402998203213,0.5925925925925926
control,20260916,Bearing1_5,7,0.06133387651708391,-0.05989736208209285,-0.12123123859917675,0.054904913092095456,0.014697013212290524,0.26768120345875607,0.040207899879804936,0.09397052554621874,0.15389394568557138,1.6376831436350725,-1.2678335972943098,-0.7452929066730422,0.4074074074074074
control,20260917,Bearing1_1,0,0.017288677584455937,0.04628375803633612,0.028995080451880182,0.02463608773123425,0.0008407146904110043,0.034125332706342215,0.023795373040823253,0.09038472811102373,0.1427906909773922,1.5798099298589006,0.24007229527666746,0.09688539936317822,0.5612244897959183
control,20260917,Bearing1_1,1,0.01764694186953866,0.03703905147861461,0.019392109609075954,0.016715174537319914,0.00037605391509041593,0.022497755811690844,0.0163391206222295,0.0956860147499296,0.11150951154460366,1.165368960511397,0.2662248466286173,0.18034536930741238,0.6020408163265306
control,20260917,Bearing1_1,2,-0.016201514370587408,-0.050471230238980175,-0.03426971586839277,0.021000298010111128,0.001174413425700371,0.0559236552326505,0.01982588458441075,0.09346862915069476,0.12523569136995355,1.3398687079067175,0.19573686146362315,0.08457423529919503,0.5612244897959183
control,20260917,Bearing1_1,3,-0.015487707429090324,-0.016507740265556743,-0.0010200328364664195,0.031163362295793008,1.0404669874697293e-06,3.338750734256266e-05,0.03116232182880554,0.0942177580173576,0.15420538064524583,1.6366912553452695,0.0840895244425004,0.03444439541691616,0.5204081632653061
control,20260917,Bearing1_1,4,0.016002673807801033,0.043430822844407996,0.027428149036606963,0.02396793980466939,0.0007523033595743235,0.031387902577582456,0.02321563644509507,0.09114821874946215,0.13985451326786189,1.5343636462307404,0.23467404304950618,0.10517718475698658,0.5816326530612245
control,20260917,Bearing1_1,5,0.013817321927267678,0.022046750297351758,0.008229428370084082,0.05175545304409512,6.772349129834474e-05,0.0013085286151518181,0.05168772955279678,0.07925632252249773,0.2092119364270106,2.6396876585792084,-0.13565521753479323,-0.07124391606752124,0.4489795918367347
control,20260917,Bearing1_1,6,-0.01738581023350054,-0.035512704022076666,-0.018126893788576126,0.019884358630226535,0.00032858427842231974,0.01652476122226208,0.019555774351804216,0.09328513996429195,0.12038413813777489,1.2904964090085087,0.19018931223735414,0.0984256699728963,0.5714285714285714
