arm,seed,bearing_id,split,target_start_step,target_count,feature_count,persistence_mse,raw_mse,raw_mse_ratio,raw_skill,bias_mse,bias_fraction_of_raw_mse,oracle_bias_corrected_mse,oracle_bias_corrected_mse_ratio,oracle_bias_corrected_skill,true_increment_rms,predicted_increment_rms,magnitude_ratio,flattened_cosine,through_origin_gain,positive_dot_fraction,valid_step_cosine_count,mean_step_cosine,median_step_cosine,error_bias_z_0,error_bias_z_1,error_bias_z_2,error_bias_z_3,error_bias_z_4,error_bias_z_5,error_bias_z_6,error_bias_z_7,bias_dominant_flag,magnitude_mismatch_flag,poor_direction_flag
control,20260916,Bearing1_1,train,25,98,8,0.008337866485201056,0.024918628993329427,2.9886097405802428,-1.9886097405802428,0.0015445793981650724,0.06198492696281755,0.023374049595164363,2.803360984090012,-1.8033609840900122,0.09131191863716946,0.13888592018766685,1.5210053874733926,0.10678714579784017,0.16242382407142159,0.5714285714285714,98,0.09808935012997855,0.20460393345011862,0.0440072168272977,0.05561882306878664,-0.04507512306528432,-0.01273132499535473,0.02874362056276628,0.008998268150857516,0.0005073493764716752,-0.06500208659135566,False,True,False
control,20260916,Bearing1_2,train,25,136,8,0.009941434442664293,0.019197934740576086,1.9311030869133874,-0.9311030869133874,0.0045277569353074565,0.23584604263383327,0.014670177805268629,1.4756600659468855,-0.4756600659468855,0.09970674221267233,0.11146136783561837,1.1178919836521555,0.14249113727408816,0.159289700100182,0.4485294117647059,136,-0.0330073506121733,-0.15080274771154806,-0.04857791209702983,-0.02176664336858427,0.04009850664913435,0.060026117600500584,-0.022249779081903398,-0.07162750873933821,0.018698217182913247,-0.14900420847184517,False,False,True
control,20260916,Bearing1_3,train,25,133,8,0.0027056523627826783,0.012328341108649688,4.556513348954549,-3.5565133489545486,0.0018839686696848486,0.1528160725827936,0.010444372438964839,3.860204874296242,-2.860204874296242,0.05201588567719172,0.11039327469545748,2.1222992410540362,0.2232580357408377,0.4738203598119947,0.45864661654135336,133,-0.010771560037429405,-0.09413949100603908,0.03402755506812854,0.011057630993593904,-0.04679927577201585,-0.023713458203395505,0.02977073803207928,0.01683936009001463,0.003021429425903729,-0.09929810376151611,False,True,True
control,20260916,Bearing1_4,validation,25,97,8,0.038775010512683894,0.05939611165689703,1.5318141986697247,-0.5318141986697247,0.001690734721343793,0.028465410852319087,0.05770537693555324,1.4882104781551753,-0.48821047815517526,0.1969137133687847,0.13359535505733355,0.6784461720405068,-0.05271235453962976,-0.03576249515665385,0.5670103092783505,97,0.11387365038508482,0.28801490749099373,0.026505369501015574,2.4012376352683784e-06,-0.04188021925306812,0.0063288027478247575,0.023184951740441863,-0.05505946662622629,-0.02103570871746417,-0.0837720045723866,False,True,True
control,20260916,Bearing1_5,holdout_test,25,27,8,0.008694134652509145,0.03910408992898748,4.497755267420658,-3.497755267420658,0.005335274715784485,0.1364377671356954,0.033768815213203,3.8840915816109716,-2.8840915816109716,0.09324234366696896,0.1614473356488133,1.7314808841082994,-0.14430688203801817,-0.24986460769409977,0.6296296296296297,27,0.10617708435189496,0.37132333762538616,0.01741000113111955,0.009444103058841493,-0.09268043590364633,-0.039381131529808044,0.03511637725211956,0.11874795856851118,0.04602293946124889,-0.12123123859917675,False,True,True
control,20260917,Bearing1_1,train,25,98,8,0.008337866485201056,0.025104759665730673,3.010933277750286,-2.010933277750286,0.000525045279684246,0.020914172717652446,0.024579714386046423,2.947962099138089,-1.9479620991380888,0.09131191863716946,0.1404864504712403,1.5385335514574747,0.1157440508439596,0.17807610560503168,0.5816326530612245,98,0.12211932606243087,0.23230486089813962,0.028995080451880182,0.019392109609075954,-0.03426971586839277,-0.0010200328364664195,0.027428149036606963,0.008229428370084082,-0.018126893788576126,0.025681289102958173,False,True,False
control,20260917,Bearing1_2,train,25,136,8,0.009941434442664293,0.01920506955093634,1.931820771106891,-0.9318207711068911,0.004398233885523363,0.22901421282845225,0.014806835665412976,1.4894063578861925,-0.48940635788619247,0.09970674221267233,0.11339825205048078,1.1373177935009124,0.15900172949619976,0.18083549615344688,0.4338235294117647,136,-0.03559957372899095,-0.2125485946655657,-0.019931330400354722,-0.07165867994155954,0.06252288445145548,0.06810689175172764,-0.09511498035863042,-0.0741757645874339,0.037670989411280435,-0.07167970405562836,False,False,True
control,20260917,Bearing1_3,train,25,133,8,0.0027056523627826783,0.012553686653215533,4.639800303208378,-3.6398003032083777,0.0005753099527149124,0.045827968198294246,0.011978376700500623,4.427167682466509,-3.427167682466509,0.05201588567719172,0.11412952549233789,2.1941282745932784,0.26762304550744553,0.5871992910806499,0.48120300751879697,133,0.02860835897861012,-0.07618380017432695,0.04193699115509153,-0.011500732763145203,-0.007243078398077111,-0.019351219898439888,0.04062190716315929,0.021339902066086467,-0.00996081531047821,0.0089342621876333,False,True,True
control,20260917,Bearing1_4,validation,25,97,8,0.038775010512683894,0.059463560631429616,1.5335536946399584,-0.5335536946399584,0.001281421058531511,0.021549685974475815,0.05818213957289812,1.5005060940954706,-0.5005060940954706,0.1969137133687847,0.13283755047584478,0.6745977626609654,-0.05816173547866937,-0.03923577662638925,0.5773195876288659,97,0.11747467088216676,0.25562074076209274,0.03220357323430248,-0.016019510546910393,-0.0010894536972045898,0.03354618229816869,0.025191183249974988,-0.07329356854723901,-0.008558044421304133,0.04184922145814011,False,True,True
control,20260917,Bearing1_5,holdout_test,25,27,8,0.008694134652509145,0.04207248552113919,4.839180344302234,-3.8391803443022336,0.0028913725866476702,0.06872359811485132,0.03918111293449151,4.506614459115118,-3.5066144591151183,0.09324234366696896,0.16725830597553248,1.793802036689728,-0.17322273716915976,-0.31072729873500826,0.6296296296296297,27,0.08163516570547237,0.3990494573821793,-0.010038609857912417,-0.047077634268336825,-0.022176456948121388,-0.04116516850060887,0.0732193320851635,0.11457465106138477,0.006490214003456963,-0.009848496428242436,False,True,True
