arm,bearing_id,split,seed_count,target_count_per_seed,raw_mse_ratio_mean,raw_mse_ratio_sample_std,bias_fraction_of_raw_mse_mean,bias_fraction_of_raw_mse_sample_std,oracle_bias_corrected_mse_ratio_mean,oracle_bias_corrected_mse_ratio_sample_std,magnitude_ratio_mean,magnitude_ratio_sample_std,flattened_cosine_mean,flattened_cosine_sample_std,through_origin_gain_mean,through_origin_gain_sample_std,positive_dot_fraction_mean,positive_dot_fraction_sample_std,mean_step_cosine_mean,mean_step_cosine_sample_std,bias_dominant_seed_count,magnitude_mismatch_seed_count,poor_direction_seed_count
control,Bearing1_1,train,3,98,3.0210650917030804,0.03853355745100426,0.050668452717535485,0.02601280885160202,2.8677525984270393,0.07358685185067292,1.5378428805406796,0.016503000706929827,0.11184695686885719,0.004590258193734749,0.17203859977406508,0.00841701396594737,0.5748299319727891,0.005891329277445167,0.11042622402649029,0.012027916173839377,0,3,0
control,Bearing1_2,train,3,136,1.9665781126321589,0.06082407273585529,0.23334714529321202,0.0037671259933606707,1.5076191369218541,0.04399035161983851,1.138957540473932,0.021931453152504745,0.14535430986637168,0.01246494693154783,0.16548341273092862,0.01337767351081284,0.4411764705882353,0.00735294117647059,-0.034365255933262125,0.001300523194395014,0,0,3
control,Bearing1_3,train,3,133,4.394840903683714,0.35460720817344243,0.07844987153852533,0.06456433545735288,4.0430640378575236,0.33277051000080926,2.107184116506565,0.09540401141277335,0.24943353341466176,0.02323565142562695,0.5257259737181367,0.05729180766896264,0.47368421052631576,0.013022938402773514,0.010844536551258806,0.019970591317936374,0,3,3
control,Bearing1_4,validation,3,97,1.5210373583726902,0.020191223771714832,0.02443736337531229,0.0035961292495506354,1.4838559392972048,0.01920139082285628,0.6726501364272343,0.006976803550960351,-0.05090574646371767,0.008307944251028142,-0.034273350905960454,0.005850896286998777,0.584192439862543,0.021460474221300322,0.11969633271120779,0.007195515396421726,0,3,3
control,Bearing1_5,holdout_test,3,27,4.52471784830816,0.30188561024105254,0.09337883349626497,0.03742090663953718,4.103412662117319,0.3496323378594552,1.7595260883843389,0.031624328342889564,-0.12135431896633003,0.0663902560520187,-0.2140595302538203,0.11869228268967162,0.6419753086419754,0.02138334330331944,0.13045923633314147,0.06449004792074625,0,3,3
ranking,Bearing1_1,train,3,98,3.0037681275685504,0.051379360286718995,0.04801520482951047,0.025620853765758376,2.8592552537916927,0.07618135380916566,1.531252593755953,0.02111053413130022,0.11140451115855506,0.004201209163742757,0.17063174070832773,0.008261467846826484,0.5714285714285713,0.010204081632653073,0.11006535266975077,0.011216030279551596,0,3,0
ranking,Bearing1_2,train,3,136,1.9752451299702736,0.06143132849390767,0.23866173267655877,0.005758879063361855,1.5036508640106758,0.03873152214277147,1.139622772337024,0.02072382997911136,0.14213523842010783,0.012255784689548008,0.1618906256724267,0.012676020087794471,0.4362745098039216,0.004245222567570763,-0.04368753991704947,0.0020444418145240456,0,0,3
ranking,Bearing1_3,train,3,133,4.453787739756922,0.3257519202970165,0.07326873230194576,0.06071646928876813,4.122030468956319,0.3225304916279571,2.1183494750363447,0.08781601097552068,0.2451011176868808,0.021877213082004788,0.5193789299094691,0.05452166171682808,0.47368421052631576,0.007518796992481203,0.002730731472612264,0.020377162202853804,0,3,3
ranking,Bearing1_4,validation,3,97,1.5182477903675824,0.019274231675957515,0.02420365934662502,0.0030641678364076446,1.4815019572571864,0.019546343991743705,0.6700509034306029,0.006608149161055987,-0.05162983727676516,0.0076792313038443975,-0.03462523271126264,0.005432366408780241,0.584192439862543,0.011904129261641791,0.11843813113686737,0.006042586768392644,0,3,3
ranking,Bearing1_5,holdout_test,3,27,4.523641715321236,0.27113620001969985,0.09336134046604268,0.038159535052809494,4.102055256359655,0.32028232793946726,1.7596775805606881,0.02356698062583893,-0.12110572887813127,0.06546671319866355,-0.21340312970471964,0.11644551083394704,0.6419753086419754,0.02138334330331944,0.13016105362881883,0.06443849712966539,0,3,3
