arm,seed,bearing_id,prefix_max_absolute_difference,direct_reference_mse_absolute_difference
direct,20260916,Bearing1_1,0.0,0.0
residual,20260916,Bearing1_1,0.0,
direct,20260916,Bearing1_2,0.0,0.0
residual,20260916,Bearing1_2,0.0,
direct,20260916,Bearing1_3,0.0,0.0
residual,20260916,Bearing1_3,0.0,
direct,20260916,Bearing1_4,0.0,0.0
residual,20260916,Bearing1_4,0.0,
direct,20260916,Bearing1_5,0.0,0.0
residual,20260916,Bearing1_5,0.0,
direct,20260917,Bearing1_1,0.0,0.0
residual,20260917,Bearing1_1,0.0,
direct,20260917,Bearing1_2,0.0,0.0
residual,20260917,Bearing1_2,0.0,
direct,20260917,Bearing1_3,0.0,0.0
residual,20260917,Bearing1_3,0.0,
direct,20260917,Bearing1_4,0.0,0.0
residual,20260917,Bearing1_4,0.0,
direct,20260917,Bearing1_5,0.0,0.0
residual,20260917,Bearing1_5,0.0,
direct,20260918,Bearing1_1,0.0,0.0
residual,20260918,Bearing1_1,0.0,
direct,20260918,Bearing1_2,0.0,0.0
residual,20260918,Bearing1_2,0.0,
direct,20260918,Bearing1_3,0.0,0.0
residual,20260918,Bearing1_3,0.0,
direct,20260918,Bearing1_4,0.0,0.0
residual,20260918,Bearing1_4,0.0,
direct,20260918,Bearing1_5,0.0,0.0
residual,20260918,Bearing1_5,0.0,
