arm,seed,bearing_id,split,target_count,gru_mse,persistence_mse,mse_ratio,skill,gru_rmse,persistence_rmse,gru_win_fraction,gru_median_step_mse,persistence_median_step_mse
direct,20260916,Bearing1_1,train,98,0.024918629062401144,0.00833786647107714,2.988609753926893,-1.9886097539268932,0.1578563557871559,0.09131191855983062,0.17346938775510204,0.024502876549377106,0.0006810361910538631
residual,20260916,Bearing1_1,train,98,0.00785125836774375,0.00833786647107714,0.9416387747367551,0.05836122526324494,0.08860732682878854,0.09131191855983062,0.3469387755102041,0.0006804308046071128,0.0006810361910538631
direct,20260916,Bearing1_2,train,136,0.0191979346616707,0.009941434409771757,1.931103085365672,-0.9311030853656721,0.1385566117573272,0.09970674204772592,0.10294117647058823,0.008970826285803923,7.018252643220535e-05
residual,20260916,Bearing1_2,train,136,0.009177257826212593,0.009941434409771757,0.9231321606057139,0.0768678393942861,0.09579800533525003,0.09970674204772592,0.47058823529411764,0.00011963527356328996,7.018252643220535e-05
direct,20260916,Bearing1_3,train,133,0.012328341071043745,0.002705652369428734,4.556513323863083,-3.556513323863083,0.11103306296344231,0.05201588574107658,0.05263157894736842,0.00884165659408609,0.0006128351124061737
residual,20260916,Bearing1_3,train,133,0.0022896047709315263,0.002705652369428734,0.846230209320996,0.15376979067900398,0.04784981474291752,0.05201588574107658,0.5488721804511278,0.0004873747420788277,0.0006128351124061737
direct,20260916,Bearing1_4,validation,97,0.05939611263270851,0.03877501019310031,1.5318142364609244,-0.5318142364609244,0.24371317697799705,0.19691371255730342,0.07216494845360824,0.008692212613823358,0.0009561158694850747
residual,20260916,Bearing1_4,validation,97,0.0378896663814186,0.03877501019310031,0.9771671546371572,0.022832845362842802,0.19465268141337946,0.19691371255730342,0.4948453608247423,0.0011443351759226061,0.0009561158694850747
direct,20260916,Bearing1_5,holdout_test,27,0.039104090585662256,0.008694134638168339,4.497755350370399,-3.497755350370399,0.19774754255277677,0.09324234359006824,0.07407407407407407,0.035005728364922106,0.0004942103014400345
residual,20260916,Bearing1_5,holdout_test,27,0.00685141832694023,0.008694134638168339,0.7880506355240516,0.21194936447594837,0.0827732947691478,0.09324234359006824,0.5925925925925926,0.0010443618411954958,0.0004942103014400345
