arm,bearing_id,split,seed_count,target_count,mse_ratio_mean,mse_ratio_sample_std,skill_mean,skill_sample_std,skill_min,skill_max,positive_skill_seed_count,win_fraction_mean
direct,Bearing1_1,train,3,98,3.0210650980646805,0.03853355224040948,-2.021065098064681,0.03853355224040949,-2.0636522584809933,-1.9886097539268932,0,0.17346938775510204
direct,Bearing1_2,train,3,136,1.966578106613541,0.06082406323097223,-0.9665781066135409,0.06082406323097223,-1.036810462875145,-0.9311030853656721,0,0.10784313725490195
direct,Bearing1_3,train,3,133,4.394840887885061,0.3546071954317889,-3.3948408878850613,0.3546071954317889,-3.6398002816462673,-2.988209058145833,0,0.09273182957393483
direct,Bearing1_4,validation,3,97,1.521037384631388,0.020191228783363994,-0.521037384631388,0.020191228783363994,-0.5335537155780048,-0.49774420185523494,0,0.07216494845360825
direct,Bearing1_5,holdout_test,3,27,4.524717906267895,0.3018856053432861,-3.5247179062678953,0.3018856053432861,-3.8391803865334797,-3.237217981899808,0,0.07407407407407407
residual,Bearing1_1,train,3,98,0.9480746836046453,0.011067002992775,0.05192531639535469,0.011067002992775,0.039146354534090544,0.05836122526324494,3,0.36734693877551017
residual,Bearing1_2,train,3,136,0.9351401518061003,0.014051321481187694,0.06485984819389967,0.014051321481187694,0.04940620996203682,0.0768678393942861,3,0.3872549019607843
residual,Bearing1_3,train,3,133,0.8613015460227597,0.025594299078626412,0.13869845397724032,0.025594299078626412,0.10914667214457585,0.15376979067900398,3,0.5413533834586467
residual,Bearing1_4,validation,3,97,0.978016409423371,0.0009749837286374954,0.021983590576628947,0.0009749837286374954,0.020918910059025686,0.022832845362842802,3,0.4914089347079038
residual,Bearing1_5,holdout_test,3,27,0.7771856948653375,0.018331659664530948,0.2228143051346624,0.018331659664530948,0.21194936447594837,0.243979370431734,3,0.6049382716049383
