representation,held_out_bearing,sample_count,mae,r2,spearman_rho,pvalue_uncorrected,prediction_min,prediction_max
raw,Bearing1_1,123,0.19328006714595164,0.39048996101844424,0.9036836878151967,2.148670264178075e-46,0.25520863298397733,0.7530295497359112
raw,Bearing1_2,161,0.1948432263730013,0.41789710999817475,0.9774499654934439,2.666423301157745e-109,0.32288817662589353,0.8789090625193909
raw,Bearing1_3,158,0.16594925014448053,0.5876971433453757,0.9820067877674147,7.676181280787651e-115,0.29045452502506003,0.7215928945023723
raw,Bearing1_4,122,0.5059912102526538,-2.562709009564678,0.8552182432811999,4.7271654290509636e-36,-0.13190106668157936,0.5802049332530335
raw,Bearing1_5,52,0.17970520891332498,0.4620624909015798,0.6994792111329292,7.978741481022806e-09,0.45195234669287265,0.745769125325966
early_centered,Bearing1_1,123,0.12967919216520318,0.7128501068396836,0.895216107105545,2.710342954284614e-44,0.14619327064461995,0.7742911920163665
early_centered,Bearing1_2,161,0.29381230448332807,-0.4102231961448648,0.6786720726938118,4.4976352966221684e-23,0.16450337789075742,1.0636786414557198
early_centered,Bearing1_3,158,0.1266276500400744,0.7691697746336514,0.9786935297151176,3.5920094341591015e-109,0.25133530656030867,0.8262752057700419
early_centered,Bearing1_4,122,0.29209238945506366,-0.4340364563954515,0.720693540765512,8.08220321076031e-21,0.18468896138897667,0.8552940120552934
early_centered,Bearing1_5,52,0.21174136329854917,0.3559312590084164,0.6704516349355416,5.407996977116931e-08,0.21314120750853427,0.6731782177873823
