representation,held_out_bearing,sample_count,accuracy,balanced_accuracy,macro_f1,majority_accuracy,majority_balanced_accuracy
raw,Bearing1_1,123,0.6747967479674797,0.6747967479674797,0.6135683424751657,0.3333333333333333,0.3333333333333333
raw,Bearing1_2,161,0.6211180124223602,0.6172839506172839,0.5248484848484849,0.33540372670807456,0.3333333333333333
raw,Bearing1_3,158,0.8227848101265823,0.8226898887276245,0.8197492163009404,0.33544303797468356,0.3333333333333333
raw,Bearing1_4,122,0.3360655737704918,0.3333333333333333,0.16872427983539096,0.3360655737704918,0.3333333333333333
raw,Bearing1_5,52,0.6730769230769231,0.6666666666666666,0.5555555555555555,0.3269230769230769,0.3333333333333333
early_centered,Bearing1_1,123,0.7398373983739838,0.7398373983739838,0.7110276870405582,0.3333333333333333,0.3333333333333333
early_centered,Bearing1_2,161,0.577639751552795,0.5740740740740741,0.4938556067588326,0.33540372670807456,0.3333333333333333
early_centered,Bearing1_3,158,0.8417721518987342,0.8397435897435898,0.8298610415965201,0.33544303797468356,0.3333333333333333
early_centered,Bearing1_4,122,0.3524590163934426,0.34979674796747967,0.24999878535232067,0.3360655737704918,0.3333333333333333
early_centered,Bearing1_5,52,0.5769230769230769,0.5740740740740741,0.49340637046053964,0.3269230769230769,0.3333333333333333
