feature,rho_Bearing3_1,rho_Bearing3_2,rho_Bearing3_3,strong_in_all_three,same_sign_all_three,robust_direction_conflict
h_mean,-0.04652621834137733,0.054443561038468924,0.10932562855873873,False,False,False
h_std,0.39869507845069496,0.8645331998212872,-0.510929014398278,True,False,True
h_variance,0.3986949790644754,0.8645331998212872,-0.510929014398278,True,False,True
h_rms,0.4142875949042866,0.8646592343678147,-0.5107774412095776,True,False,True
h_peak,0.33245077682981256,0.46313615805750963,-0.35089733677682555,True,False,True
h_peak_to_peak,0.3563106678306683,0.5135732374755003,-0.3915450590398174,True,False,True
h_crest_factor,0.06775597571527506,-0.603934074211082,0.18638637768278668,False,False,False
h_shape_factor,0.11187878071010522,-0.7361773461255254,0.20679274777388912,False,False,False
h_impulse_factor,0.0694941377810919,-0.6152999994320302,0.18970900297741441,False,False,False
h_clearance_factor,0.06980020951896833,-0.6204831593774414,0.19042221945447754,False,False,False
h_kurtosis,0.05811758023446774,-0.7228832917527246,0.17226304645659485,False,False,False
h_skewness,0.22172183550702895,0.11376313592651556,0.07779300037364555,False,True,False
h_line_integral,0.931734881825036,0.8935932329524582,-0.5385475293570242,True,False,True
h_zero_crossing_rate,0.6223898327540774,0.7742945019696281,-0.7738608141893937,True,False,True
h_entropy,-0.08237859020097268,0.6298396033136018,-0.1814801063127296,False,False,False
h_percentile_5,-0.4380373033110552,-0.8626067082994211,0.5015773306185682,True,False,True
h_percentile_50,0.021552328992172503,0.04304389730734318,0.04700393367929449,False,True,False
h_percentile_95,0.343017058926016,0.8698242537799054,-0.5055590935688319,True,False,True
v_mean,-0.1074326759747531,0.012753371336484269,-0.034252015688412525,False,False,False
v_std,0.38389533379698637,0.6720209958748711,-0.5134002448670738,True,False,True
v_variance,0.38389538547477914,0.6720209958748711,-0.5134002448670738,True,False,True
v_rms,0.38940281756592693,0.6722408234107845,-0.5109205544993738,True,False,True
v_peak,0.39317300550080153,0.2510399206380474,-0.3500498399698411,False,False,True
v_peak_to_peak,0.4096265011839004,0.282024388324124,-0.40542491017232346,False,False,True
v_crest_factor,0.18012059654466617,-0.6928237446261333,0.17330502400496317,False,False,False
v_shape_factor,0.019797371010913913,-0.9350469004844458,0.08775348415689932,False,False,False
v_impulse_factor,0.17395310563108823,-0.7630782249949664,0.17968778273099636,False,False,False
v_clearance_factor,0.17038798733051452,-0.786114713484762,0.1798945802597659,False,False,False
v_kurtosis,0.0867190228999938,-0.9253084611286335,0.06680100672796961,False,False,False
v_skewness,-0.32720410819332624,0.8886430494164763,0.27474931674566494,False,False,True
v_line_integral,0.8000845991225153,0.8602935677892862,-0.5339869388560807,True,False,True
v_zero_crossing_rate,0.5278687890964617,0.8383877443609642,-0.9070581052674526,True,False,True
v_entropy,-0.17877092152045312,0.7652484137123019,-0.1573628145143666,False,False,False
v_percentile_5,-0.49789562701304135,-0.6775313226250324,0.4429687665232401,True,False,True
v_percentile_50,-0.017302161208290024,-0.41359444843475013,0.0025438447505061147,False,False,False
v_percentile_95,0.2667643881152943,0.7233790772155272,-0.4544749340245385,False,False,True
cross_correlation,0.937926658474979,-0.9211884444777545,0.6488427563290619,True,False,True
h_spectral_centroid,0.8405404190616232,0.5631242679141301,-0.7984560684499821,True,False,True
h_spectral_bandwidth,0.8550948578678583,-0.8258094601859712,0.5828017305193204,True,False,True
h_spectral_rolloff,0.8636074640478303,-0.08032179726351789,0.39105974781928377,False,False,False
h_spectral_flatness,-0.9394909999730152,-0.20508343240666882,0.37959660382058436,False,False,True
h_band_power_0_1k,0.28113032103742575,0.5019994156391401,-0.3513678011547762,False,False,True
h_band_power_1_3k,-0.38989629303648077,0.15501846936533492,-0.09911288560101708,False,False,False
h_band_power_3_6k,-0.6194985125187004,0.8493981024588453,-0.5220949059658737,True,False,True
h_band_power_6_12k,0.8165349986149649,0.8852867004456528,-0.5326866993939423,True,False,True
h_dominant_frequency,0.23360246508119922,0.04877914727220109,-0.06361771911981293,False,False,False
h_mean_frequency,0.6260472184281128,0.780014452204683,-0.7985446623912845,True,False,True
h_bpfo_band_power,0.5588446273977384,0.7415999770095628,-0.04581411252135537,False,False,False
h_bpfi_band_power,0.737030591763257,0.08563579440079137,0.46979675092882645,False,True,False
h_bsf_band_power,-0.6489052840278495,-0.5171698716122366,0.13853648448901035,False,False,False
h_ftf_band_power,-0.13024045765379502,0.23659416041040526,-0.23605890909603633,False,False,False
v_spectral_centroid,0.9263720795896757,0.8094343840071287,-0.7961018665826944,True,False,True
v_spectral_bandwidth,0.861204620220208,-0.4845025578730945,0.9416907896193996,True,False,True
v_spectral_rolloff,0.9159836733519695,0.5429999428096768,-0.4627636247616575,True,False,True
v_spectral_flatness,-0.629331807468357,0.7782509658016138,-0.1552609996310544,False,False,True
v_band_power_0_1k,0.5393013345218721,0.4226075275223132,0.011918587572878505,False,True,False
v_band_power_1_3k,-0.3375497571110328,-0.28528159411765835,-0.22382495529178426,False,True,False
v_band_power_3_6k,-0.5475424603560656,0.819253199415065,-0.524486472386655,True,False,True
v_band_power_6_12k,0.593840410608053,0.8576835111027947,-0.5297381896286341,True,False,True
v_dominant_frequency,0.3908153545345328,0.22806429558607935,-0.21565922983848237,False,False,False
v_mean_frequency,0.5314458175794665,0.8539260570369044,-0.9109647339714291,True,False,True
v_bpfo_band_power,-0.14734262906185835,0.39793751206470795,-0.09906189121040004,False,False,False
v_bpfi_band_power,0.6273511345933023,-0.29817578303768755,0.05621626321565458,False,False,False
v_bsf_band_power,0.8996460796069695,0.3760681678813097,0.48607359642052284,True,True,False
v_ftf_band_power,-0.06242881634011621,0.33438333800776754,-0.030237558661174,False,False,False
