arm,seed,outer_test_bearing,held_lifetime_block,accuracy,test_samples
source_only,20260918,Bearing3_1,0,0.7833333333333333,180
source_only,20260918,Bearing3_1,1,1.0,180
source_only,20260918,Bearing3_1,2,1.0,179
source_only,20260918,Bearing3_1,3,1.0,180
source_only,20260918,Bearing3_1,4,0.8674033149171271,181
source_only,20260918,Bearing3_1,all,0.93,900
source_dann,20260918,Bearing3_1,0,0.7944444444444444,180
source_dann,20260918,Bearing3_1,1,1.0,180
source_dann,20260918,Bearing3_1,2,1.0,179
source_dann,20260918,Bearing3_1,3,1.0,180
source_dann,20260918,Bearing3_1,4,0.9060773480662984,181
source_dann,20260918,Bearing3_1,all,0.94,900
source_only,20260918,Bearing3_2,0,0.7444444444444445,180
source_only,20260918,Bearing3_2,1,1.0,180
source_only,20260918,Bearing3_2,2,1.0,179
source_only,20260918,Bearing3_2,3,1.0,180
source_only,20260918,Bearing3_2,4,0.8895027624309392,181
source_only,20260918,Bearing3_2,all,0.9266666666666666,900
source_dann,20260918,Bearing3_2,0,0.43333333333333335,180
source_dann,20260918,Bearing3_2,1,0.7,180
source_dann,20260918,Bearing3_2,2,0.9776536312849162,179
source_dann,20260918,Bearing3_2,3,0.9222222222222223,180
source_dann,20260918,Bearing3_2,4,0.7403314917127072,181
source_dann,20260918,Bearing3_2,all,0.7544444444444445,900
source_only,20260918,Bearing3_3,0,0.8277777777777777,180
source_only,20260918,Bearing3_3,1,0.9888888888888889,180
source_only,20260918,Bearing3_3,2,1.0,179
source_only,20260918,Bearing3_3,3,1.0,180
source_only,20260918,Bearing3_3,4,0.7790055248618785,181
source_only,20260918,Bearing3_3,all,0.9188888888888889,900
source_dann,20260918,Bearing3_3,0,0.6055555555555555,180
source_dann,20260918,Bearing3_3,1,0.8222222222222222,180
source_dann,20260918,Bearing3_3,2,1.0,179
source_dann,20260918,Bearing3_3,3,1.0,180
source_dann,20260918,Bearing3_3,4,0.861878453038674,181
source_dann,20260918,Bearing3_3,all,0.8577777777777778,900
source_only,20260921,Bearing3_1,0,0.7277777777777777,180
source_only,20260921,Bearing3_1,1,0.9611111111111111,180
source_only,20260921,Bearing3_1,2,1.0,179
source_only,20260921,Bearing3_1,3,1.0,180
source_only,20260921,Bearing3_1,4,0.8342541436464088,181
source_only,20260921,Bearing3_1,all,0.9044444444444445,900
source_dann,20260921,Bearing3_1,0,0.7111111111111111,180
source_dann,20260921,Bearing3_1,1,0.9944444444444445,180
source_dann,20260921,Bearing3_1,2,1.0,179
source_dann,20260921,Bearing3_1,3,1.0,180
source_dann,20260921,Bearing3_1,4,0.8176795580110497,181
source_dann,20260921,Bearing3_1,all,0.9044444444444445,900
source_only,20260921,Bearing3_2,0,0.6388888888888888,180
source_only,20260921,Bearing3_2,1,0.8944444444444445,180
source_only,20260921,Bearing3_2,2,1.0,179
source_only,20260921,Bearing3_2,3,0.9166666666666666,180
source_only,20260921,Bearing3_2,4,0.861878453038674,181
source_only,20260921,Bearing3_2,all,0.8622222222222222,900
source_dann,20260921,Bearing3_2,0,0.6,180
source_dann,20260921,Bearing3_2,1,0.8444444444444444,180
source_dann,20260921,Bearing3_2,2,0.88268156424581,179
source_dann,20260921,Bearing3_2,3,0.8444444444444444,180
source_dann,20260921,Bearing3_2,4,0.8729281767955801,181
source_dann,20260921,Bearing3_2,all,0.8088888888888889,900
source_only,20260921,Bearing3_3,0,0.6222222222222222,180
source_only,20260921,Bearing3_3,1,0.9722222222222222,180
source_only,20260921,Bearing3_3,2,1.0,179
source_only,20260921,Bearing3_3,3,1.0,180
source_only,20260921,Bearing3_3,4,0.8674033149171271,181
source_only,20260921,Bearing3_3,all,0.8922222222222222,900
source_dann,20260921,Bearing3_3,0,0.7,180
source_dann,20260921,Bearing3_3,1,0.9888888888888889,180
source_dann,20260921,Bearing3_3,2,1.0,179
source_dann,20260921,Bearing3_3,3,1.0,180
source_dann,20260921,Bearing3_3,4,0.9171270718232044,181
source_dann,20260921,Bearing3_3,all,0.9211111111111111,900
source_only,20260924,Bearing3_1,0,0.9277777777777778,180
source_only,20260924,Bearing3_1,1,1.0,180
source_only,20260924,Bearing3_1,2,1.0,179
source_only,20260924,Bearing3_1,3,0.9666666666666667,180
source_only,20260924,Bearing3_1,4,0.7845303867403315,181
source_only,20260924,Bearing3_1,all,0.9355555555555556,900
source_dann,20260924,Bearing3_1,0,0.8166666666666667,180
source_dann,20260924,Bearing3_1,1,1.0,180
source_dann,20260924,Bearing3_1,2,1.0,179
source_dann,20260924,Bearing3_1,3,1.0,180
source_dann,20260924,Bearing3_1,4,0.9116022099447514,181
source_dann,20260924,Bearing3_1,all,0.9455555555555556,900
source_only,20260924,Bearing3_2,0,0.6777777777777778,180
source_only,20260924,Bearing3_2,1,0.8777777777777778,180
source_only,20260924,Bearing3_2,2,0.9776536312849162,179
source_only,20260924,Bearing3_2,3,0.9277777777777778,180
source_only,20260924,Bearing3_2,4,1.0,181
source_only,20260924,Bearing3_2,all,0.8922222222222222,900
source_dann,20260924,Bearing3_2,0,0.55,180
source_dann,20260924,Bearing3_2,1,0.7722222222222223,180
source_dann,20260924,Bearing3_2,2,0.9385474860335196,179
source_dann,20260924,Bearing3_2,3,0.9944444444444445,180
source_dann,20260924,Bearing3_2,4,0.9723756906077348,181
source_dann,20260924,Bearing3_2,all,0.8455555555555555,900
