arm,seed,test_bearing,train_bearings,spearman_health,backward_step_fraction,checkpoint_sha256
source_only,20260918,Bearing3_1,Bearing3_2+Bearing3_3,-0.06451929619971646,0.51044540796216,139c5f0e12105dfd27e66f988aa605a76caed8b6c22db8675660823e5f507aa9
source_dann,20260918,Bearing3_1,Bearing3_2+Bearing3_3,0.20706494825239014,0.49507292077256604,ab96c22d5e6d4c78a663374a451daac7b7b9fb3740d8565baa3a774d0234e5f7
source_only,20260918,Bearing3_2,Bearing3_1+Bearing3_3,-0.36937623591349555,0.49498997995991983,1616a944e5f8b2fb9f18a8fadb2179aa8b12fce464fdf3dcc5ef41d33dcb6b30
source_dann,20260918,Bearing3_2,Bearing3_1+Bearing3_3,0.50017252397034,0.4685370741482966,9064c4d64da08f677fe8286ea15829e34c64080783d6ef3a4e0c46c60cde760f
source_only,20260918,Bearing3_3,Bearing3_1+Bearing3_2,-0.3516960922316979,0.4918918918918919,fb1c050d55a7dbc7521bae0d8cec29136db8d74c4558a1c48a2204afe32b5950
source_dann,20260918,Bearing3_3,Bearing3_1+Bearing3_2,-0.2981461071540195,0.4756756756756757,d34132f828f2c35064d8cd252f54db46d6ab2a90c63c083e5aacddc0866db4f1
source_only,20260921,Bearing3_1,Bearing3_2+Bearing3_3,0.342178375495444,0.5092629089475759,e60b31f3195ef45c11c0a5df410ff97a1aff96c4c69a9106c3ce937fcd3d55f1
source_dann,20260921,Bearing3_1,Bearing3_2+Bearing3_3,0.5354552240801539,0.5139929050059125,3a64716570c6e968cb614c99989a29882405a1798958954ff21a7afb403fc5f2
source_only,20260921,Bearing3_2,Bearing3_1+Bearing3_3,-0.8469476606087936,0.4561122244488978,39829f7898e62fa16b26c089682091b67e56a95c541c48d73936bf32a527c7a0
source_dann,20260921,Bearing3_2,Bearing3_1+Bearing3_3,-0.7457195667327386,0.47575150300601204,d25635658ee53ea5a404faf020d794720462a10450f49983663e9b1dd70fa411
source_only,20260921,Bearing3_3,Bearing3_1+Bearing3_2,-0.45601205065599465,0.4540540540540541,03ec17530a25bb7b2e29166a948ed704d39106b1c0eb33035b3e27031991d45a
source_dann,20260921,Bearing3_3,Bearing3_1+Bearing3_2,-0.347026228036575,0.44054054054054054,8db3f689f73867c06b278bce7473149d18ceb2da4a1a03b2c1cf73b279783699
source_only,20260924,Bearing3_1,Bearing3_2+Bearing3_3,0.099053009112061,0.5187229010642491,0ae60ff298601611ccf30c9f743789e3c336faccebc881b807dda5a343528300
source_dann,20260924,Bearing3_1,Bearing3_2+Bearing3_3,0.492049084160616,0.5088687426093812,b09baeff4378d75230722d87d6529e641711036363b15935408afd5d197bc442
source_only,20260924,Bearing3_2,Bearing3_1+Bearing3_3,-0.8364611990994713,0.5022044088176353,24c5f8a33581d211b93b6074e8c95e1c48a7526a80b8bc3a24f23ddabbc41f24
source_dann,20260924,Bearing3_2,Bearing3_1+Bearing3_3,-0.8031404110090117,0.49819639278557115,f2b7931eb1eb3cb23d5ccf7402c95a324910e2a331d63e048847c00eb33a2efe
source_only,20260924,Bearing3_3,Bearing3_1+Bearing3_2,-0.5212496210670283,0.4918918918918919,122777bd9991469c10c47ea2f74004cf654ab321269720f5df00a9f5a959059a
source_dann,20260924,Bearing3_3,Bearing3_1+Bearing3_2,-0.508120327962081,0.4891891891891892,547a428bf98c121711a159a0367b85d7215ea5c02ac2be7ce4c5df8429e86a31
