seed,outer_test_bearing,held_lifetime_block,accuracy,test_samples
20260918,Bearing3_1,0,0.6833333333333333,180
20260918,Bearing3_1,1,0.95,180
20260918,Bearing3_1,2,1.0,179
20260918,Bearing3_1,3,0.9333333333333333,180
20260918,Bearing3_1,4,0.8895027624309392,181
20260918,Bearing3_1,all,0.8911111111111111,900
20260918,Bearing3_2,0,0.8055555555555556,180
20260918,Bearing3_2,1,0.9777777777777777,180
20260918,Bearing3_2,2,1.0,179
20260918,Bearing3_2,3,1.0,180
20260918,Bearing3_2,4,0.9558011049723757,181
20260918,Bearing3_2,all,0.9477777777777778,900
20260918,Bearing3_3,0,0.7444444444444445,180
20260918,Bearing3_3,1,0.9222222222222223,180
20260918,Bearing3_3,2,1.0,179
20260918,Bearing3_3,3,0.9333333333333333,180
20260918,Bearing3_3,4,0.8895027624309392,181
20260918,Bearing3_3,all,0.8977777777777778,900
20260921,Bearing3_1,0,0.8277777777777777,180
20260921,Bearing3_1,1,0.9888888888888889,180
20260921,Bearing3_1,2,1.0,179
20260921,Bearing3_1,3,0.9166666666666666,180
20260921,Bearing3_1,4,0.7348066298342542,181
20260921,Bearing3_1,all,0.8933333333333333,900
20260921,Bearing3_2,0,0.6444444444444445,180
20260921,Bearing3_2,1,0.7888888888888889,180
20260921,Bearing3_2,2,1.0,179
20260921,Bearing3_2,3,0.9555555555555556,180
20260921,Bearing3_2,4,0.9392265193370166,181
20260921,Bearing3_2,all,0.8655555555555555,900
20260921,Bearing3_3,0,0.5722222222222222,180
20260921,Bearing3_3,1,0.8111111111111111,180
20260921,Bearing3_3,2,0.9664804469273743,179
20260921,Bearing3_3,3,0.9111111111111111,180
20260921,Bearing3_3,4,0.9558011049723757,181
20260921,Bearing3_3,all,0.8433333333333334,900
20260924,Bearing3_1,0,0.7555555555555555,180
20260924,Bearing3_1,1,0.8833333333333333,180
20260924,Bearing3_1,2,1.0,179
20260924,Bearing3_1,3,0.9166666666666666,180
20260924,Bearing3_1,4,0.8453038674033149,181
20260924,Bearing3_1,all,0.88,900
20260924,Bearing3_2,0,0.95,180
20260924,Bearing3_2,1,0.9722222222222222,180
20260924,Bearing3_2,2,1.0,179
20260924,Bearing3_2,3,0.9111111111111111,180
20260924,Bearing3_2,4,0.9392265193370166,181
20260924,Bearing3_2,all,0.9544444444444444,900
20260924,Bearing3_3,0,0.85,180
20260924,Bearing3_3,1,1.0,180
20260924,Bearing3_3,2,1.0,179
20260924,Bearing3_3,3,0.9111111111111111,180
20260924,Bearing3_3,4,0.7679558011049724,181
20260924,Bearing3_3,all,0.9055555555555556,900
