arm,seed,bearing_id,time_block,n,within_block_spearman,mean_prediction,median_prediction
source_only,20260918,Bearing3_1,0,508,-0.6349613219331994,-0.07211315077289528,-0.11497891694307327
source_only,20260918,Bearing3_1,1,507,0.12162791781204867,-0.12450323464014591,-0.1263062208890915
source_only,20260918,Bearing3_1,2,508,-0.13085277564982073,-0.12750617194715447,-0.12868784368038177
source_only,20260918,Bearing3_1,3,507,-0.6870441069740573,-0.06920769054596947,-0.10385467112064362
source_only,20260918,Bearing3_1,4,508,0.7515103206349448,-0.062192888824107846,-0.1327212229371071
source_only,20260921,Bearing3_1,0,508,-0.5338447387000447,0.0766916397636331,0.06123872101306915
source_only,20260921,Bearing3_1,1,507,-0.32597986902361065,-0.004384201071436353,-0.003676876425743103
source_only,20260921,Bearing3_1,2,508,0.2935478948694729,0.016846260407895552,0.01014602929353714
source_only,20260921,Bearing3_1,3,507,0.655018315369091,0.06360349095843483,0.06201055645942688
source_only,20260921,Bearing3_1,4,508,0.2715468581330671,0.20178066032725994,0.17858614027500153
source_only,20260924,Bearing3_1,0,508,-0.6039663268454774,-0.31541893271157356,-0.36421363055706024
source_only,20260924,Bearing3_1,1,507,-0.184004589937753,-0.38766270823027255,-0.3924527168273926
source_only,20260924,Bearing3_1,2,508,-0.20857130015953806,-0.4061162966912187,-0.4068257212638855
source_only,20260924,Bearing3_1,3,507,-0.5714562739554182,-0.3798490048512905,-0.39895445108413696
source_only,20260924,Bearing3_1,4,508,0.7618544345562205,-0.2562040156413486,-0.37992213666439056
global_mmd,20260918,Bearing3_1,0,508,-0.44226501366128596,-0.06226840569806381,-0.09031348675489426
global_mmd,20260918,Bearing3_1,1,507,0.10797329497458537,-0.08439469866866073,-0.08527370542287827
global_mmd,20260918,Bearing3_1,2,508,-0.18007047720539218,-0.08044884609806491,-0.08186208456754684
global_mmd,20260918,Bearing3_1,3,507,-0.6667307227310388,-0.0033641505795411575,-0.043346039950847626
global_mmd,20260918,Bearing3_1,4,508,0.7495218847402855,-0.012627526477903245,-0.048441365361213684
global_mmd,20260921,Bearing3_1,0,508,-0.8231488428892156,0.015298622799670602,-0.021272189915180206
global_mmd,20260921,Bearing3_1,1,507,-0.36527674521775594,-0.07180680544712605,-0.07702252268791199
global_mmd,20260921,Bearing3_1,2,508,0.099706654674234,-0.0703668363509685,-0.0760677233338356
global_mmd,20260921,Bearing3_1,3,507,-0.1270043916002887,-0.007815238771706643,-0.009186357259750366
global_mmd,20260921,Bearing3_1,4,508,0.7208014669920831,0.12047037438262166,0.05579103156924248
