arm,seed,outer_test_bearing,held_lifetime_block,accuracy,test_samples
source_only,20260918,Bearing3_1,0,0.7277777777777777,180
source_only,20260918,Bearing3_1,1,1.0,180
source_only,20260918,Bearing3_1,2,1.0,179
source_only,20260918,Bearing3_1,3,1.0,180
source_only,20260918,Bearing3_1,4,0.8895027624309392,181
source_only,20260918,Bearing3_1,all,0.9233333333333333,900
global_mmd,20260918,Bearing3_1,0,0.5333333333333333,180
global_mmd,20260918,Bearing3_1,1,0.6222222222222222,180
global_mmd,20260918,Bearing3_1,2,0.6703910614525139,179
global_mmd,20260918,Bearing3_1,3,0.6666666666666666,180
global_mmd,20260918,Bearing3_1,4,0.6408839779005525,181
global_mmd,20260918,Bearing3_1,all,0.6266666666666667,900
conditional_mmd,20260918,Bearing3_1,0,0.5555555555555556,180
conditional_mmd,20260918,Bearing3_1,1,0.6666666666666666,180
conditional_mmd,20260918,Bearing3_1,2,0.6703910614525139,179
conditional_mmd,20260918,Bearing3_1,3,0.6666666666666666,180
conditional_mmd,20260918,Bearing3_1,4,0.585635359116022,181
conditional_mmd,20260918,Bearing3_1,all,0.6288888888888889,900
source_only,20260918,Bearing3_2,0,0.7666666666666667,180
source_only,20260918,Bearing3_2,1,1.0,180
source_only,20260918,Bearing3_2,2,1.0,179
source_only,20260918,Bearing3_2,3,1.0,180
source_only,20260918,Bearing3_2,4,0.8950276243093923,181
source_only,20260918,Bearing3_2,all,0.9322222222222222,900
global_mmd,20260918,Bearing3_2,0,0.3888888888888889,180
global_mmd,20260918,Bearing3_2,1,0.6666666666666666,180
global_mmd,20260918,Bearing3_2,2,0.6703910614525139,179
global_mmd,20260918,Bearing3_2,3,0.65,180
global_mmd,20260918,Bearing3_2,4,0.5027624309392266,181
global_mmd,20260918,Bearing3_2,all,0.5755555555555556,900
conditional_mmd,20260918,Bearing3_2,0,0.3111111111111111,180
conditional_mmd,20260918,Bearing3_2,1,0.6166666666666667,180
conditional_mmd,20260918,Bearing3_2,2,0.664804469273743,179
conditional_mmd,20260918,Bearing3_2,3,0.6555555555555556,180
conditional_mmd,20260918,Bearing3_2,4,0.425414364640884,181
conditional_mmd,20260918,Bearing3_2,all,0.5344444444444445,900
source_only,20260918,Bearing3_3,0,0.8055555555555556,180
source_only,20260918,Bearing3_3,1,0.9944444444444445,180
source_only,20260918,Bearing3_3,2,1.0,179
source_only,20260918,Bearing3_3,3,1.0,180
source_only,20260918,Bearing3_3,4,0.7679558011049724,181
source_only,20260918,Bearing3_3,all,0.9133333333333333,900
global_mmd,20260918,Bearing3_3,0,0.5388888888888889,180
global_mmd,20260918,Bearing3_3,1,0.5888888888888889,180
global_mmd,20260918,Bearing3_3,2,0.6815642458100558,179
global_mmd,20260918,Bearing3_3,3,0.5666666666666667,180
global_mmd,20260918,Bearing3_3,4,0.5469613259668509,181
global_mmd,20260918,Bearing3_3,all,0.5844444444444444,900
conditional_mmd,20260918,Bearing3_3,0,0.5444444444444444,180
conditional_mmd,20260918,Bearing3_3,1,0.6555555555555556,180
conditional_mmd,20260918,Bearing3_3,2,0.7262569832402235,179
conditional_mmd,20260918,Bearing3_3,3,0.6944444444444444,180
conditional_mmd,20260918,Bearing3_3,4,0.5469613259668509,181
conditional_mmd,20260918,Bearing3_3,all,0.6333333333333333,900
source_only,20260921,Bearing3_1,0,0.6166666666666667,180
source_only,20260921,Bearing3_1,1,0.9333333333333333,180
source_only,20260921,Bearing3_1,2,1.0,179
source_only,20260921,Bearing3_1,3,1.0,180
source_only,20260921,Bearing3_1,4,0.7845303867403315,181
source_only,20260921,Bearing3_1,all,0.8666666666666667,900
global_mmd,20260921,Bearing3_1,0,0.6388888888888888,180
global_mmd,20260921,Bearing3_1,1,0.6833333333333333,180
global_mmd,20260921,Bearing3_1,2,0.6871508379888268,179
global_mmd,20260921,Bearing3_1,3,0.6666666666666666,180
global_mmd,20260921,Bearing3_1,4,0.5469613259668509,181
global_mmd,20260921,Bearing3_1,all,0.6444444444444445,900
conditional_mmd,20260921,Bearing3_1,0,0.5,180
conditional_mmd,20260921,Bearing3_1,1,0.6611111111111111,180
conditional_mmd,20260921,Bearing3_1,2,0.6536312849162011,179
conditional_mmd,20260921,Bearing3_1,3,0.7388888888888889,180
conditional_mmd,20260921,Bearing3_1,4,0.6243093922651933,181
conditional_mmd,20260921,Bearing3_1,all,0.6355555555555555,900
source_only,20260921,Bearing3_2,0,0.6277777777777778,180
source_only,20260921,Bearing3_2,1,0.8777777777777778,180
source_only,20260921,Bearing3_2,2,1.0,179
source_only,20260921,Bearing3_2,3,0.9166666666666666,180
