seed,outer_test_bearing,lifetime_block,probe_sample_count,source_only_identity_accuracy,source_dann_identity_accuracy,identity_reduction
20260918,Bearing3_1,0,180,0.7833333333333333,0.7944444444444444,-0.011111111111111072
20260918,Bearing3_1,1,180,1.0,1.0,0.0
20260918,Bearing3_1,2,179,1.0,1.0,0.0
20260918,Bearing3_1,3,180,1.0,1.0,0.0
20260918,Bearing3_1,4,181,0.8674033149171271,0.9060773480662984,-0.03867403314917128
20260918,Bearing3_2,0,180,0.7444444444444445,0.43333333333333335,0.3111111111111111
20260918,Bearing3_2,1,180,1.0,0.7,0.30000000000000004
20260918,Bearing3_2,2,179,1.0,0.9776536312849162,0.022346368715083775
20260918,Bearing3_2,3,180,1.0,0.9222222222222223,0.07777777777777772
20260918,Bearing3_2,4,181,0.8895027624309392,0.7403314917127072,0.149171270718232
20260918,Bearing3_3,0,180,0.8277777777777777,0.6055555555555555,0.2222222222222222
20260918,Bearing3_3,1,180,0.9888888888888889,0.8222222222222222,0.16666666666666674
20260918,Bearing3_3,2,179,1.0,1.0,0.0
20260918,Bearing3_3,3,180,1.0,1.0,0.0
20260918,Bearing3_3,4,181,0.7790055248618785,0.861878453038674,-0.08287292817679559
20260921,Bearing3_1,0,180,0.7277777777777777,0.7111111111111111,0.016666666666666607
20260921,Bearing3_1,1,180,0.9611111111111111,0.9944444444444445,-0.033333333333333326
20260921,Bearing3_1,2,179,1.0,1.0,0.0
20260921,Bearing3_1,3,180,1.0,1.0,0.0
20260921,Bearing3_1,4,181,0.8342541436464088,0.8176795580110497,0.016574585635359074
20260921,Bearing3_2,0,180,0.6388888888888888,0.6,0.03888888888888886
20260921,Bearing3_2,1,180,0.8944444444444445,0.8444444444444444,0.050000000000000044
20260921,Bearing3_2,2,179,1.0,0.88268156424581,0.11731843575418999
20260921,Bearing3_2,3,180,0.9166666666666666,0.8444444444444444,0.07222222222222219
20260921,Bearing3_2,4,181,0.861878453038674,0.8729281767955801,-0.011049723756906049
20260921,Bearing3_3,0,180,0.6222222222222222,0.7,-0.07777777777777772
20260921,Bearing3_3,1,180,0.9722222222222222,0.9888888888888889,-0.01666666666666672
20260921,Bearing3_3,2,179,1.0,1.0,0.0
20260921,Bearing3_3,3,180,1.0,1.0,0.0
20260921,Bearing3_3,4,181,0.8674033149171271,0.9171270718232044,-0.04972375690607733
20260924,Bearing3_1,0,180,0.9277777777777778,0.8166666666666667,0.11111111111111116
20260924,Bearing3_1,1,180,1.0,1.0,0.0
20260924,Bearing3_1,2,179,1.0,1.0,0.0
20260924,Bearing3_1,3,180,0.9666666666666667,1.0,-0.033333333333333326
20260924,Bearing3_1,4,181,0.7845303867403315,0.9116022099447514,-0.1270718232044199
20260924,Bearing3_2,0,180,0.6777777777777778,0.55,0.12777777777777777
20260924,Bearing3_2,1,180,0.8777777777777778,0.7722222222222223,0.10555555555555551
20260924,Bearing3_2,2,179,0.9776536312849162,0.9385474860335196,0.03910614525139666
20260924,Bearing3_2,3,180,0.9277777777777778,0.9944444444444445,-0.06666666666666665
20260924,Bearing3_2,4,181,1.0,0.9723756906077348,0.027624309392265234
20260924,Bearing3_3,0,180,0.7944444444444444,0.7666666666666667,0.02777777777777768
20260924,Bearing3_3,1,180,1.0,1.0,0.0
20260924,Bearing3_3,2,179,1.0,1.0,0.0
20260924,Bearing3_3,3,180,0.9333333333333333,1.0,-0.06666666666666665
20260924,Bearing3_3,4,181,0.6187845303867403,0.9060773480662984,-0.28729281767955805
